Round Number,Home Team,Away Team,Home Goals,Away Goals
5,Dynamo Kyiv,Maccabi Tel Aviv,1,0
5,Valencia,Gent,2,1
5,Lyon,FC Zenit,0,2
5,Arsenal,Olympiacos,2,3
5,FC Zenit,Lyon,3,1
5,Olympiacos,Arsenal,0,3
5,Maccabi Tel Aviv,Dynamo Kyiv,0,2
5,Gent,Valencia,1,0
6,Wolfsburg,Manchester United,3,2
6,PSV,CSKA Moscow,2,1
6,Paris Saint-Germain,Shakhtar Donetsk,2,0
6,Malmo FF,Real Madrid,0,2
6,Manchester City,Borussia Mönchengladbach,4,2
6,Sevilla,Juventus,1,0
6,Atletico de Madrid,Benfica,2,1
6,Galatasaray,Astana,1,1
6,Benfica,Atletico de Madrid,2,1
6,Juventus,Sevilla,1,0
6,Borussia Mönchengladbach,Manchester City,4,2
6,Real Madrid,Malmo FF,8,0
6,Shakhtar Donetsk,Paris Saint-Germain,0,2
6,CSKA Moscow,PSV,2,1
6,Manchester United,Wolfsburg,3,2
6,FC Barcelona,Bayer Leverkusen,2,1
6,AS Roma,BATE Borisov,0,0
Round of 16 - Game 1,Gent,Wolfsburg,2,3
Round of 16 - Game 1,Paris Saint-Germain,Chelsea,2,1
Round of 16 - Game 1,Benfica,FC Zenit,1,0
Round of 16 - Game 1,PSV,Atletico de Madrid,0,0
Round of 16 - Game 1,Juventus,Bayern Munich,2,2
Round of 16 - Game 1,Sevilla,Borussia Mönchengladbach,1,0
Round of 16 - Game 1,Arsenal,FC Barcelona,0,2
Round of 16 - Game 1,Dynamo Kyiv,Manchester City,1,3
Round of 16 - Game 2,Wolfsburg,Gent,1,0
Round of 16 - Game 2,Chelsea,Paris Saint-Germain,1,2
Round of 16 - Game 2,FC Zenit,Benfica,1,2
Round of 16 - Game 2,Atletico de Madrid,PSV,0,0
Round of 16 - Game 2,Bayern Munich,Juventus,4,2
Round of 16 - Game 2,Borussia Mönchengladbach,Sevilla,2,4
Round of 16 - Game 2,FC Barcelona,Arsenal,3,1
Round of 16 - Game 2,Manchester City,Dynamo Kyiv,0,0
Qtr Finals - Game 1,Paris Saint-Germain,Manchester City,2,2
Qtr Finals - Game 1,Benfica,Bayern Munich,1,0
Qtr Finals - Game 1,FC Barcelona,Atletico de Madrid,2,1
Qtr Finals - Game 1,Wolfsburg,Real Madrid,2,0
Qtr Finals - Game 2,Manchester City,Paris Saint-Germain,1,0
Qtr Finals - Game 2,Bayern Munich,Benfica,1,0
Qtr Finals - Game 2,Atletico de Madrid,FC Barcelona,2,0
Qtr Finals - Game 2,Real Madrid,Wolfsburg,3,0
Semi Finals - Game 1,Manchester City,Real Madrid,0,0
Semi Finals - Game 1,Atletico de Madrid,Bayern Munich,1,0
Semi Finals - Game 2,Real Madrid,Manchester City,1,0
Semi Finals - Game 2,Bayern Munich,Atletico de Madrid,2,1
Final,Real Madrid,Atletico de Madrid,5,3
